Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,28.280001,28.420000,27.670000,28.240000,28.240000,276700
2022-02-28,29.059999,29.459999,28.840000,29.080000,29.080000,211800
2022-03-01,30.480000,31.500000,30.309999,31.190001,31.190001,511500
2022-03-02,32.349998,33.240002,31.160000,33.040001,33.040001,613000
2022-03-03,32.639999,33.200001,32.169998,32.439999,32.439999,434900
2022-03-04,33.529999,34.810001,33.020000,34.400002,34.400002,638000
2022-03-07,35.000000,36.369999,34.700001,35.970001,35.970001,1144700
2022-03-08,37.439999,38.720001,35.619999,37.259998,37.259998,1754300
2022-03-09,35.020000,35.360001,30.260000,32.750000,32.750000,1200600
2022-03-10,33.430000,33.689999,31.500000,31.850000,31.850000,687600
2022-03-11,32.340000,33.250000,32.169998,33.099998,33.099998,371400
2022-03-14,31.840000,31.889999,30.959999,31.580000,31.580000,501600
2022-03-15,30.080000,33.250000,29.680000,29.740000,29.740000,1153300
2022-03-16,30.639999,30.799999,29.330000,29.580000,29.580000,349500
2022-03-17,31.510000,32.470001,31.459999,31.980000,31.980000,234000
2022-03-18,32.560001,32.590000,32.000000,32.330002,32.330002,117200
2022-03-21,33.540001,34.700001,33.540001,34.570000,34.570000,243900
2022-03-22,34.509998,34.720001,33.750000,34.250000,34.250000,148100
2022-03-23,35.450001,35.990002,35.400002,35.730000,35.730000,379500
2022-03-24,35.950001,35.950001,34.520000,34.849998,34.849998,173100
2022-03-25,34.490002,35.700001,34.310001,35.259998,35.259998,94400
2022-03-28,33.490002,34.020000,32.439999,32.610001,32.610001,201200
2022-03-29,31.500000,33.430000,31.340000,33.139999,33.139999,215900
2022-03-30,33.970001,34.369999,33.770000,33.919998,33.919998,99400
2022-03-31,32.830002,33.290001,31.940001,32.240002,32.240002,126400
2022-04-01,31.740000,32.310001,31.700001,32.139999,32.139999,48600
2022-04-04,33.020000,33.400002,32.730000,33.259998,33.259998,143300
2022-04-05,33.599998,33.720001,32.220001,32.549999,32.549999,100000
2022-04-06,32.959999,33.369999,31.480000,31.650000,31.650000,128400
2022-04-07,31.680000,32.110001,30.790001,31.780001,31.780001,97100
2022-04-08,31.309999,32.200001,31.299999,32.040001,32.040001,30800
2022-04-11,30.930000,31.459999,30.770000,31.100000,31.100000,84200
2022-04-12,32.349998,32.900002,32.259998,32.820000,32.820000,61100
2022-04-13,33.250000,33.820000,32.900002,33.689999,33.689999,42700
2022-04-14,33.240002,34.549999,33.240002,34.150002,34.150002,73500
2022-04-18,34.680000,35.090000,34.389999,34.470001,34.470001,52400
2022-04-19,33.450001,33.680000,32.880001,33.029999,33.029999,86800
2022-04-20,33.410000,33.570000,32.669998,33.230000,33.230000,42900
2022-04-21,33.740002,34.180000,33.279999,33.610001,33.610001,44400
2022-04-22,33.189999,33.340000,32.799999,32.799999,32.799999,20000
2022-04-25,31.250000,32.360001,31.000000,32.090000,32.090000,77800
2022-04-26,32.520000,33.029999,32.090000,32.799999,32.799999,163900
2022-04-27,32.299999,32.869999,32.139999,32.759998,32.759998,32600
2022-04-28,32.709999,33.529999,32.689999,33.349998,33.349998,122900
2022-04-29,33.790001,34.070000,32.880001,33.049999,33.049999,57100
2022-05-02,32.349998,33.889999,32.139999,33.509998,33.509998,36500
2022-05-03,32.970001,33.439999,32.689999,32.840000,32.840000,36600
2022-05-04,34.009998,34.669998,33.770000,34.419998,34.419998,88900
2022-05-05,35.330002,35.490002,34.000000,34.529999,34.529999,169300
2022-05-06,35.009998,35.410000,34.529999,35.330002,35.330002,125400
2022-05-09,34.330002,34.799999,32.759998,32.869999,32.869999,154500
2022-05-10,33.060001,33.459999,31.850000,31.910000,31.910000,102000
2022-05-11,33.299999,33.910000,33.299999,33.439999,33.439999,42200
