Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-22,94.349998,95.120003,94.349998,94.940002,94.940002,19600,1
2018-02-23,94.400002,94.919998,94.290001,94.82,94.82,8600,2
2018-02-26,95.050003,95.199997,94.800003,95.120003,95.120003,28000,3
2018-02-27,94.5,94.580002,93.540001,93.599998,93.599998,22200,4
2018-02-28,93.349998,93.849998,93.349998,93.529999,93.529999,11700,5
2018-03-01,91.949997,92.18,90.949997,91.970001,91.970001,63800,6
2018-03-02,92,92.239998,91.650002,92,92,25600,7
2018-03-05,91.419998,91.650002,91.099998,91.510002,91.510002,17500,8
2018-03-06,91.989998,92.760002,91.879997,92.199997,92.199997,33800,9
2018-03-07,91.5,91.5,90.449997,90.650002,90.650002,50300,10
2018-03-08,90.709999,90.739998,90.019997,90.610001,90.610001,13400,11
2018-03-09,90.849998,91.769997,90.709999,91.730003,91.730003,29600,12
2018-03-12,91.400002,91.779999,91.220001,91.75,91.75,18100,13
2018-03-13,92.300003,92.43,91.699997,91.889999,91.889999,18400,14
2018-03-14,91.900002,91.93,91.440002,91.620003,91.620003,20400,15
2018-03-15,91.199997,91.209999,90.709999,90.769997,90.769997,11100,16
2018-03-16,90.5,90.559998,89.910004,90.379997,90.379997,32500,17
2018-03-19,90.349998,91.019997,90.349998,90.720001,90.720001,16300,18
2018-03-20,90.269997,90.269997,89.629997,89.82,89.82,23800,19
2018-03-21,90.410004,91.419998,90,91.32,91.32,49300,20
2018-03-22,90.599998,90.639999,90.07,90.43,90.43,23500,21
2018-03-23,91.209999,91.209999,90.239998,90.239998,90.239998,19900,22
2018-03-26,90.699997,91.129997,90.489998,90.669998,90.669998,22000,23
2018-03-27,90.199997,90.199997,89.510002,89.800003,89.800003,24700,24
2018-03-28,89.57,89.57,88.849998,89.150002,89.150002,25400,25
2018-03-29,89.099998,89.25,88.269997,88.650002,88.650002,23700,26
2018-04-02,88.900002,89.029999,88.669998,89,89,22300,27
2018-04-03,88.150002,88.279999,87.410004,88.209999,88.209999,63000,28
2018-04-04,87.349998,87.349998,86.919998,87.269997,87.269997,58500,29
2018-04-05,86.800003,87.379997,86.419998,86.830002,86.830002,27300,30
2018-04-06,87.169998,87.220001,86.75,87.150002,87.150002,58900,31
2018-04-09,88.400002,89.099998,88.040001,88.800003,88.800003,126400,32
2018-04-10,88.800003,88.82,88.160004,88.529999,88.529999,28000,33
2018-04-11,88.550003,89.629997,88.400002,88.739998,88.739998,34000,34
2018-04-12,88.5,88.669998,88.199997,88.400002,88.400002,24400,35
2018-04-13,88.599998,88.860001,88.300003,88.540001,88.540001,16300,36
2018-04-16,88.550003,88.879997,88.220001,88.339996,88.339996,20700,37
2018-04-17,88.5,89.199997,88.370003,89.120003,89.120003,55500,38
2018-04-18,90.099998,90.260002,89.519997,89.580002,89.580002,54900,39
2018-04-19,89.580002,89.790001,88.629997,89.050003,89.050003,45700,40
2018-04-20,88.5,88.529999,88.139999,88.209999,88.209999,24200,41
2018-04-23,87.800003,87.949997,87.5,87.699997,87.699997,21500,42
2018-04-24,87.800003,88.910004,87.800003,88.68,88.68,26800,43
