Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-02-10,16.59,16.66,16.540001,16.610001,16.610001,7382700,0
2020-02-11,16.540001,16.549999,16.4,16.48,16.48,10832400,1
2020-02-12,16.35,16.4,16.299999,16.33,16.33,10358700,2
2020-02-13,16.530001,16.549999,16.450001,16.459999,16.459999,7589200,3
2020-02-14,16.610001,16.620001,16.540001,16.559999,16.559999,8611200,4
2020-02-18,16.780001,17.02,16.73,17.01,17.01,18474100,5
2020-02-19,17.040001,17.24,16.99,17.23,17.23,16491200,6
2020-02-20,17.09,17.200001,17.07,17.139999,17.139999,13454300,7
2020-02-21,17.27,17.41,17.24,17.280001,17.280001,18315900,8
2020-02-24,17.559999,17.690001,17.299999,17.4,17.4,29339000,9
2020-02-25,17.129999,17.200001,16.67,16.709999,16.709999,42614700,10
2020-02-26,16.700001,16.82,16.6,16.68,16.68,22335000,11
2020-02-27,16.790001,16.84,16.450001,16.469999,16.469999,40098600,12
2020-02-28,15.89,15.89,15.28,15.53,15.53,68662300,13
2020-03-02,15.61,15.71,15.53,15.56,15.56,29297900,14
2020-03-03,15.73,16.309999,15.7,16.02,16.02,51453100,15
2020-03-04,16.01,16.110001,15.94,16.09,16.09,15904600,16
2020-03-05,16.120001,16.299999,16.1,16.299999,16.299999,16084000,17
2020-03-06,16.24,16.26,15.89,16.18,16.18,27540500,18
2020-03-09,15.78,15.95,15.63,15.88,15.88,34389000,19
2020-03-10,15.88,15.89,15.69,15.73,15.73,26387300,20
2020-03-11,15.8,15.86,15.55,15.63,15.63,26548100,21
2020-03-12,15,15.13,14.48,14.62,14.62,60548700,22
2020-03-13,14.67,14.69,13.47,13.69,13.69,66736000,23
2020-03-16,11.83,12.41,11.68,12,12,56056800,24
2020-03-17,11.64,12.38,11.52,11.88,11.88,55691200,25
2020-03-18,11.44,11.62,10.86,11.21,11.21,63234600,26
2020-03-19,11.34,11.44,11.04,11.32,11.32,52642200,27
2020-03-20,11.72,11.93,11.52,11.62,11.62,41231800,28
2020-03-23,11.97,12.39,11.87,12.31,12.31,47133100,29
2020-03-24,13.23,13.38,12.87,13.29,13.29,41209400,30
2020-03-25,13.26,13.65,13.19,13.51,13.51,40503400,31
2020-03-26,13.59,13.71,13.35,13.53,13.53,35076400,32
2020-03-27,13.51,13.53,13.29,13.44,13.44,19555600,33
2020-03-30,13.06,13.27,12.88,13.16,13.16,26617500,34
2020-03-31,13.12,13.32,12.95,13.05,13.05,23214800,35
2020-04-01,13,13.14,12.87,13.02,13.02,17824200,36
2020-04-02,13.42,13.59,13.35,13.53,13.53,20635400,37
2020-04-03,13.48,13.54,13.33,13.46,13.46,15810600,38
2020-04-06,13.57,14.09,13.47,14.03,14.03,33922500,39
2020-04-07,14.21,14.23,13.87,13.99,13.99,22812200,40
2020-04-08,14.03,14.08,13.87,13.94,13.94,14213700,41
2020-04-09,14.31,14.52,14.19,14.34,14.34,30312900,42
2020-04-13,14.19,14.49,14.13,14.4,14.4,19793700,43
2020-04-14,14.58,14.8,14.46,14.65,14.65,25722500,44
2020-04-15,14.49,14.5,14.25,14.49,14.49,18239700,45
2020-04-16,14.37,14.51,14.18,14.51,14.51,19663900,46
2020-04-17,14.27,14.31,14.07,14.15,14.15,17462400,47
2020-04-20,14.2,14.4,14.19,14.26,14.26,18226800,48
2020-04-21,13.66,13.92,13.55,13.88,13.88,24274300,49
2020-04-22,14.01,14.14,13.93,14.09,14.09,19255100,50
2020-04-23,14.25,14.41,14.09,14.21,14.21,21764500,51
2020-04-24,14.28,14.33,14.01,14.21,14.21,15127500,52
2020-04-27,14.21,14.23,14.01,14.21,14.21,11423500,53
2020-04-28,14.19,14.19,13.97,14.1,14.1,11221300,54
2020-04-29,14.18,14.36,14.07,14.28,14.28,16889500,55
2020-04-30,14.07,14.17,13.76,13.98,13.98,26829100,56
2020-05-01,13.9,14.02,13.75,13.92,13.92,16724400,57
2020-05-04,13.81,13.88,13.73,13.77,13.77,17912800,58
2020-05-05,13.92,14.03,13.82,13.93,13.93,16678400,59
2020-05-06,13.95,14,13.88,13.92,13.92,10596000,60
2020-05-07,14.06,14.4,14.03,14.26,14.26,37394800,61
2020-05-08,14.36,14.6,14.35,14.44,14.44,31528200,62
2020-05-11,14.5,14.52,14.31,14.44,14.44,18529400,63
2020-05-12,14.51,14.58,14.39,14.42,14.42,19816600,64
2020-05-13,14.45,14.57,14.38,14.55,14.55,19797900,65
2020-05-14,14.49,14.83,14.47,14.81,14.81,33095800,66
2020-05-15,15.42,15.61,15.24,15.51,15.51,54736200,67
2020-05-18,15.95,16.040001,15.74,15.79,15.79,48078100,68
2020-05-19,16.15,16.32,16.08,16.17,16.17,48516900,69
2020-05-20,16.27,16.450001,16.209999,16.360001,16.360001,39047900,70
2020-05-21,16.129999,16.15,15.71,15.96,15.96,37580300,71
2020-05-22,15.96,16.09,15.92,16.040001,16.040001,25203400,72
2020-05-26,16.280001,16.280001,15.86,15.97,15.97,30607200,73
2020-05-27,15.75,16.200001,15.72,16.15,16.15,36109000,74
2020-05-28,16.24,16.34,16.1,16.190001,16.190001,30242900,75
2020-05-29,16.549999,16.700001,16.49,16.66,16.66,42236400,76
2020-06-01,16.860001,17.1,16.83,17.1,17.1,31234900,77
2020-06-02,17.059999,17.07,16.57,16.84,16.84,32202600,78
2020-06-03,16.5,16.559999,16.27,16.48,16.48,36302900,79
2020-06-04,16.540001,16.639999,16.360001,16.540001,16.540001,20272500,80
2020-06-05,16.18,16.23,16.040001,16.200001,16.200001,27360400,81
2020-06-08,16.35,16.6,16.27,16.59,16.59,25594800,82
2020-06-09,16.43,16.57,16.360001,16.42,16.42,18582700,83
2020-06-10,16.700001,16.959999,16.360001,16.959999,16.959999,40557000,84
2020-06-11,16.75,16.879999,16.280001,16.440001,16.440001,41000100,85
2020-06-12,16.440001,16.549999,16.209999,16.280001,16.280001,31220600,86
2020-06-15,15.87,16.280001,15.79,16.23,16.23,28946300,87
2020-06-16,16.200001,16.379999,16.18,16.26,16.26,23368000,88
2020-06-17,16.34,16.41,16.25,16.33,16.33,13485700,89
2020-06-18,16.200001,16.26,16.120001,16.209999,16.209999,15444900,90
2020-06-19,16.43,16.6,16.360001,16.49,16.49,26968800,91
2020-06-22,16.719999,16.809999,16.459999,16.5,16.5,26625400,92
2020-06-23,16.73,16.77,16.639999,16.76,16.76,25742500,93
2020-06-24,16.360001,16.620001,16.24,16.280001,16.280001,25976500,94
2020-06-25,16.5,16.610001,16.41,16.59,16.59,16699800,95
2020-06-26,16.49,16.74,16.290001,16.629999,16.629999,26029200,96
2020-06-29,16.58,16.66,16.49,16.65,16.65,13861900,97
2020-06-30,16.65,17.01,16.65,17.01,17.01,37872900,98
2020-07-01,17.01,17.030001,16.610001,16.82,16.82,36577100,99
2020-07-02,16.700001,16.889999,16.67,16.709999,16.709999,18564100,100
2020-07-06,17.08,17.16,16.950001,17.049999,17.049999,24977600,101
2020-07-07,16.93,17.120001,16.92,17.01,17.01,25945200,102
2020-07-08,17.33,17.49,17.299999,17.49,17.49,37782400,103
2020-07-09,17.700001,17.74,17.219999,17.379999,17.379999,40376200,104
2020-07-10,17.49,17.530001,17.299999,17.43,17.43,20454500,105
2020-07-13,17.99,18.08,17.709999,17.73,17.73,49876300,106
2020-07-14,17.709999,18,17.67,17.969999,17.969999,35495200,107
2020-07-15,17.889999,18.17,17.83,18.17,18.17,36148500,108
2020-07-16,17.98,18.059999,17.780001,17.780001,17.780001,29567000,109
2020-07-17,17.98,18.07,17.889999,18.01,18.01,34200100,110
2020-07-20,18.360001,18.57,18.23,18.530001,18.530001,41717100,111
2020-07-21,19.52,19.879999,19.42,19.67,19.67,75095800,112
2020-07-22,20.65,21.450001,20.51,21.440001,21.440001,125780300,113
2020-07-23,21.1,21.51,20.719999,21.030001,21.030001,95257100,114
2020-07-24,21.34,21.360001,20.93,21.209999,21.209999,49831700,115
2020-07-27,22.559999,22.85,22.42,22.83,22.83,94894600,116
2020-07-28,22.309999,22.969999,22.07,22.77,22.77,94721800,117
2020-07-29,22.68,23.25,21.709999,22.57,22.57,83963400,118
2020-07-30,21.700001,22.01,21.4,21.76,21.76,60066500,119
2020-07-31,22.209999,22.67,22.110001,22.65,22.65,49107700,120
2020-08-03,22.59,22.780001,22.379999,22.74,22.74,40947500,121
2020-08-04,22.700001,24.25,22.620001,24.25,24.25,75735400,122
2020-08-05,25.120001,25.280001,24.610001,25.049999,25.049999,92505800,123
2020-08-06,26.309999,26.9,25.879999,26.879999,26.879999,108854600,124
2020-08-07,26.280001,26.379999,25.48,26.190001,26.190001,123705200,125
2020-08-10,26.59,27.389999,26.57,27,27,81732500,126
2020-08-11,25.23,25.52,23.059999,23.33,23.33,165630300,127
2020-08-12,24.15,24.42,23.389999,23.42,23.42,80515000,128
2020-08-13,24.65,25.809999,24.57,25.450001,25.450001,95485000,129
2020-08-14,25.110001,25.23,23.98,24.58,24.58,73263600,130
2020-08-17,25.48,25.67,25.24,25.620001,25.620001,49360400,131
2020-08-18,26.42,26.49,25.23,25.879999,25.879999,58275800,132
2020-08-19,25.940001,26.049999,24.700001,24.879999,24.879999,72926400,133
2020-08-20,24.93,25.639999,24.879999,25.610001,25.610001,43984000,134
2020-08-21,24.870001,25.02,24.42,24.9,24.9,55295500,135
2020-08-24,25.08,25.1,24.52,24.6,24.6,37090400,136
2020-08-25,24.73,24.77,24.26,24.76,24.76,34800100,137
